Scholarship_Name,Scholarship_Type,Required_GPA,Scholarship_Budget,Scholarship_Level,Country_of_Scholarship,Eligible_Domain
Scholarship387,Need-Based,3.0,9500.0,Masters,Canada,Fine Arts
Scholarship388,Need-Based,3.0,6000.0,PhD,Pakistan,Finance
Scholarship389,Need-Based,2.5,500.0,Masters,United States,Chemistry
Scholarship390,Merit-Based,2.0,6500.0,Masters,United States,Medical Research
Scholarship391,Merit-Based,2.0,7000.0,BS,USA,SE
Scholarship392,Need-Based,2.0,8000.0,BS,USA,Chemistry
Scholarship393,Merit-Based,2.0,5000.0,BS,Pakistan,Business Administration
Scholarship394,Need-Based,2.0,8500.0,Masters,USA,Medical Science
Scholarship395,Need-Based,3.0,9500.0,Masters,Pakistan,History
Scholarship396,Need-Based,2.0,7500.0,BS,United States,Business Administration
Scholarship397,Need-Based,2.0,4000.0,BS,Pakistan,Medical Science
Scholarship398,Need-Based,2.5,4500.0,PhD,UK,CS
Scholarship399,Need-Based,2.5,5000.0,Masters,Pakistan,CS
Scholarship400,Need-Based,2.0,6000.0,PhD,Australia,Medical Science
Scholarship401,Merit-Based,3.0,2000.0,PhD,Pakistan,Chemistry
Scholarship402,Need-Based,3.0,8000.0,PhD,USA,Fine Arts
Scholarship403,Need-Based,2.0,6000.0,PhD,United Kingdom,Fine Arts
Scholarship404,Merit-Based,2.5,8500.0,BS,Pakistan,Electrical Engineering
Scholarship405,Need-Based,3.0,8500.0,BS,Australia,Medical Research
Scholarship406,Merit-Based,2.5,4500.0,BS,Australia,Chemistry
Scholarship407,Need-Based,2.5,6500.0,PhD,Pakistan,Physics
Scholarship408,Need-Based,3.0,4000.0,PhD,UK,Fine Arts
Scholarship409,Need-Based,2.0,6000.0,PhD,Pakistan,Computer Science
Scholarship410,Merit-Based,3.0,7000.0,BS,United Kingdom,Medical Science
Scholarship411,Merit-Based,3.0,3000.0,Masters,Canada,CS
Scholarship412,Merit-Based,3.0,3500.0,PhD,UK,Computer Science
Scholarship413,Need-Based,2.0,6000.0,PhD,Australia,Medical Science
Scholarship414,Merit-Based,2.5,4000.0,Masters,USA,Computer Science
Scholarship415,Merit-Based,2.0,1000.0,BS,UK,Computer Science
Scholarship416,Merit-Based,2.5,4500.0,PhD,UK,Finance
Scholarship417,Need-Based,3.0,6500.0,Masters,United States,Software Engineering
Scholarship418,Merit-Based,2.5,7000.0,PhD,Canada,Business Administration
Scholarship419,Need-Based,2.0,3500.0,BS,USA,Software Engineering
Scholarship420,Merit-Based,3.0,8000.0,BS,United States,CS
Scholarship421,Need-Based,2.5,3500.0,PhD,Australia,Physics
Scholarship422,Merit-Based,2.5,7000.0,PhD,Pakistan,SE
Scholarship423,Merit-Based,3.0,9000.0,BS,United Kingdom,Chemistry
Scholarship424,Need-Based,2.5,1000.0,PhD,United Kingdom,Finance
Scholarship425,Merit-Based,3.0,6000.0,PhD,Australia,Physics
Scholarship426,Merit-Based,2.0,5000.0,PhD,United States,Medical Science
Scholarship427,Need-Based,2.0,1000.0,Masters,Canada,CS
Scholarship428,Merit-Based,2.5,6000.0,PhD,USA,Chemistry
Scholarship429,Need-Based,2.5,2500.0,BS,United States,Electrical Engineering
Scholarship430,Need-Based,2.5,7500.0,Masters,Pakistan,Medical Research
Scholarship431,Merit-Based,2.0,8500.0,PhD,Canada,Business Administration
Scholarship432,Need-Based,3.0,2000.0,PhD,United States,Medical Science
Scholarship433,Merit-Based,2.5,9000.0,Masters,Canada,Software Engineering
Scholarship434,Need-Based,2.0,3000.0,BS,United States,Electrical Engineering
Scholarship435,Merit-Based,2.5,9500.0,BS,UK,Physics
Scholarship436,Need-Based,2.0,1500.0,PhD,USA,Business Administration
Scholarship437,Need-Based,2.0,6500.0,BS,Australia,SE
Scholarship438,Merit-Based,2.5,4500.0,PhD,UK,Software Engineering
Scholarship439,Need-Based,3.0,1500.0,PhD,Pakistan,Finance
Scholarship440,Merit-Based,2.0,8500.0,Masters,United States,Physics
Scholarship441,Merit-Based,3.0,7000.0,PhD,UK,Business Administration
Scholarship442,Need-Based,3.0,1500.0,Masters,United Kingdom,Electrical Engineering
Scholarship443,Merit-Based,3.0,3500.0,BS,UK,Business Administration
Scholarship444,Need-Based,2.5,500.0,BS,Australia,Software Engineering
Scholarship445,Need-Based,3.0,8000.0,Masters,Australia,Physics
Scholarship446,Merit-Based,3.0,5000.0,BS,United Kingdom,Business Administration
Scholarship447,Merit-Based,2.5,9500.0,PhD,United States,Software Engineering
Scholarship448,Need-Based,2.5,6500.0,BS,Canada,Computer Science
Scholarship449,Merit-Based,2.0,1500.0,Masters,USA,Finance
Scholarship450,Need-Based,2.0,8000.0,Masters,UK,Software Engineering
Scholarship451,Merit-Based,2.5,1000.0,Masters,Pakistan,Fine Arts
Scholarship452,Merit-Based,2.5,4500.0,PhD,Pakistan,SE
Scholarship453,Merit-Based,3.0,8500.0,PhD,United States,Business Administration
Scholarship454,Merit-Based,2.0,500.0,Masters,United Kingdom,Computer Science
Scholarship455,Need-Based,3.0,1000.0,Masters,Australia,Electrical Engineering
Scholarship456,Need-Based,3.0,5500.0,PhD,Canada,CS
Scholarship457,Need-Based,2.0,6000.0,PhD,UK,Medical Science
Scholarship458,Merit-Based,2.0,6000.0,PhD,United States,Software Engineering
Scholarship459,Need-Based,2.0,5500.0,BS,Pakistan,Physics
Scholarship460,Need-Based,3.0,3500.0,PhD,Pakistan,CS
Scholarship461,Merit-Based,3.0,4500.0,Masters,United States,Medical Research
Scholarship462,Need-Based,2.0,1000.0,BS,USA,CS
Scholarship463,Merit-Based,2.0,5500.0,Masters,Pakistan,History
Scholarship464,Need-Based,2.0,3000.0,Masters,USA,Software Engineering
Scholarship465,Need-Based,2.0,6000.0,PhD,UK,History
Scholarship466,Merit-Based,3.0,7000.0,Masters,UK,Medical Research
Scholarship467,Need-Based,3.0,2000.0,BS,USA,Electrical Engineering
Scholarship468,Merit-Based,2.5,3500.0,PhD,United Kingdom,Medical Science
Scholarship469,Merit-Based,2.5,1500.0,Masters,United Kingdom,Computer Science
Scholarship470,Need-Based,3.0,1000.0,BS,Pakistan,Medical Science
Scholarship471,Need-Based,3.0,2000.0,BS,United States,Software Engineering
Scholarship472,Merit-Based,2.0,5500.0,PhD,Australia,Electrical Engineering
Scholarship473,Merit-Based,2.0,5000.0,BS,Pakistan,SE
Scholarship474,Merit-Based,2.5,4500.0,PhD,USA,Computer Science
Scholarship475,Merit-Based,2.5,500.0,BS,United States,Software Engineering
Scholarship476,Merit-Based,3.0,1000.0,PhD,USA,Medical Science
Scholarship477,Merit-Based,3.0,8000.0,BS,Canada,Software Engineering
Scholarship478,Merit-Based,3.0,3000.0,PhD,Pakistan,Chemistry
Scholarship479,Merit-Based,2.5,2000.0,BS,United States,Medical Research
Scholarship480,Merit-Based,3.0,3000.0,PhD,USA,History
Scholarship481,Merit-Based,2.0,3000.0,Masters,Australia,SE
Scholarship482,Need-Based,3.0,4500.0,BS,USA,Fine Arts
Scholarship483,Need-Based,2.5,4500.0,PhD,United States,Medical Science
Scholarship484,Merit-Based,3.0,9000.0,PhD,Canada,Finance
Scholarship485,Merit-Based,3.0,1000.0,PhD,UK,Computer Science
Scholarship486,Merit-Based,2.0,4500.0,BS,Australia,CS
Scholarship487,Need-Based,3.0,9000.0,Masters,United States,CS
Scholarship488,Need-Based,2.0,2000.0,Masters,UK,Medical Science
Scholarship489,Merit-Based,3.0,4000.0,Masters,UK,Medical Research
Scholarship490,Need-Based,2.0,7500.0,BS,Canada,Electrical Engineering
Scholarship491,Need-Based,3.0,2000.0,BS,United States,Business Administration
Scholarship492,Need-Based,2.0,4500.0,Masters,UK,Computer Science
Scholarship493,Need-Based,2.5,7000.0,BS,Pakistan,Finance
Scholarship494,Merit-Based,2.5,3500.0,PhD,Australia,Business Administration
Scholarship495,Merit-Based,2.0,1500.0,Masters,Pakistan,Computer Science
Scholarship496,Merit-Based,2.0,6000.0,PhD,Canada,Chemistry
Scholarship497,Merit-Based,2.5,7500.0,PhD,Pakistan,SE
Scholarship498,Need-Based,3.0,8500.0,PhD,Pakistan,SE
Scholarship499,Need-Based,2.0,3000.0,BS,USA,Medical Research
