Name,CGPA,Budget_Preference,Education_Level,Country_Preference,Domain_Area,Scholarship_Name,Scholarship_Type,Scholarship_Budget,Education_Preference,Country_of_Scholarship,Eligible_Domain,Target
Person1308,3.68,5500,PhD,Australia,Computer Science,Scholarship1308,Need-Based,4500,Master,Australia,Medical Research,0
Person1698,3.71,5000,Master,Canada,Finance,Scholarship1698,Need-Based,8000,Bachelor,USA,Medical Research,0
Person33,3.75,4500,PhD,UK,Finance,Scholarship33,Need-Based,1500,Master,Canada,Medical Science,0
Person899,3.28,4500,PhD,Canada,Fine Arts,Scholarship899,Merit-Based,8000,Master,USA,Computer Science,0
Person2940,2.86,4500,PhD,Australia,Electrical Engineering,Scholarship2940,Need-Based,2000,PhD,Canada,Business Administration,0
Person2293,3.4,9500,PhD,Australia,History,Scholarship2293,Need-Based,6000,Bachelor,Canada,Fine Arts,0
Person1298,3.74,2500,Master,Australia,Chemistry,Scholarship1298,Need-Based,2000,Bachelor,UK,Business Administration,0
Person604,3.99,5000,PhD,Australia,Medical Research,Scholarship604,Merit-Based,7500,Master,UK,Fine Arts,0
Person1221,3.04,4000,Bachelor,USA,History,Scholarship1221,Need-Based,2500,Bachelor,UK,Medical Research,0
Person1343,3.85,8500,PhD,USA,Computer Science,Scholarship1343,Need-Based,3000,PhD,USA,Business Administration,0
Person1658,3.06,2500,Master,UK,Medical Science,Scholarship1658,Need-Based,7500,Bachelor,Canada,Computer Science,0
Person2698,3.64,8000,PhD,Canada,Medical Science,Scholarship2698,Merit-Based,3000,PhD,USA,Fine Arts,0
Person2997,3.16,3000,Bachelor,USA,Computer Science,Scholarship2997,Merit-Based,3000,Master,Australia,Medical Research,0
Person2479,2.97,2500,PhD,USA,Finance,Scholarship2479,Need-Based,5500,Bachelor,Canada,Finance,0
Person885,3.62,3000,Master,UK,Finance,Scholarship885,Need-Based,7000,PhD,USA,Physics,0
Person855,2.98,9500,PhD,USA,Electrical Engineering,Scholarship855,Need-Based,9500,PhD,UK,Fine Arts,0
Person2710,3.51,2500,Bachelor,USA,History,Scholarship2710,Need-Based,5000,PhD,Australia,Electrical Engineering,0
Person1167,3.2,8000,Bachelor,Australia,Physics,Scholarship1167,Need-Based,6500,Bachelor,Canada,Medical Science,0
Person655,3.55,6500,Master,Australia,Fine Arts,Scholarship655,Merit-Based,1500,PhD,Australia,Electrical Engineering,0
Person2435,3.59,8000,Bachelor,USA,Finance,Scholarship2435,Merit-Based,3500,Master,Canada,Fine Arts,0
Person843,3.57,500,Master,Canada,Computer Science,Scholarship843,Need-Based,8000,PhD,Australia,Computer Science,0
Person206,3.18,2500,Master,Canada,Medical Science,Scholarship206,Merit-Based,4000,Bachelor,Australia,Fine Arts,0
Person1077,3.82,5000,PhD,USA,Medical Science,Scholarship1077,Need-Based,8500,Bachelor,Australia,Chemistry,0
Person1300,3.23,2500,Master,Australia,Business Administration,Scholarship1300,Merit-Based,8500,Bachelor,UK,Fine Arts,0
Person53,2.85,4500,Master,Canada,Fine Arts,Scholarship53,Need-Based,6000,PhD,USA,Computer Science,0
Person2224,2.98,4500,Bachelor,Australia,Medical Research,Scholarship2224,Need-Based,500,Bachelor,Australia,Fine Arts,0
Person1757,3.39,5000,Bachelor,Canada,Fine Arts,Scholarship1757,Need-Based,9000,PhD,Canada,Electrical Engineering,0
Person483,3.72,9500,Bachelor,USA,Medical Research,Scholarship483,Need-Based,5000,PhD,USA,Physics,0
Person953,3.77,1000,PhD,USA,Physics,Scholarship953,Merit-Based,500,Master,USA,Medical Research,0
Person1746,2.58,5500,Bachelor,UK,Medical Research,Scholarship1746,Need-Based,9000,Bachelor,Canada,Finance,0
Person2001,3.13,6000,Master,USA,Medical Science,Scholarship2001,Need-Based,1000,Bachelor,UK,Medical Research,0
Person530,3.57,8000,Bachelor,UK,Computer Science,Scholarship530,Need-Based,9500,PhD,Australia,Medical Research,0
Person2252,2.6,5500,Master,Australia,Electrical Engineering,Scholarship2252,Need-Based,5500,Bachelor,Canada,Chemistry,0
Person1152,2.98,1500,Bachelor,Canada,History,Scholarship1152,Need-Based,7000,Master,USA,Medical Research,0
Person1304,3.95,6500,PhD,Canada,Electrical Engineering,Scholarship1304,Merit-Based,2500,PhD,UK,Business Administration,0
Person786,3.56,5000,PhD,UK,Electrical Engineering,Scholarship786,Need-Based,6500,Master,USA,Chemistry,0
Person2018,2.69,7500,Bachelor,Australia,Computer Science,Scholarship2018,Merit-Based,7000,Bachelor,Australia,Finance,0
Person268,2.59,8500,Bachelor,Canada,Finance,Scholarship268,Merit-Based,3500,Master,Australia,Physics,0
Person1610,2.9,7000,Master,UK,Physics,Scholarship1610,Need-Based,5000,PhD,UK,Finance,0
Person1974,2.91,7500,PhD,USA,Business Administration,Scholarship1974,Merit-Based,6500,Bachelor,UK,Medical Research,0
Person2757,3.3,5000,PhD,Canada,Electrical Engineering,Scholarship2757,Merit-Based,3500,Master,USA,Physics,0
Person475,2.59,9500,PhD,Canada,Electrical Engineering,Scholarship475,Merit-Based,9500,Master,USA,Computer Science,0
Person1738,2.88,500,Master,UK,Electrical Engineering,Scholarship1738,Merit-Based,1000,Bachelor,Australia,Business Administration,0
Person1251,3.26,4500,PhD,USA,Finance,Scholarship1251,Need-Based,7000,Bachelor,Australia,Medical Research,0
Person538,3.32,9000,Bachelor,UK,Electrical Engineering,Scholarship538,Merit-Based,8500,PhD,USA,History,0
Person2305,3.52,2500,PhD,Australia,Physics,Scholarship2305,Merit-Based,3000,PhD,UK,History,0
Person2798,3.79,3500,Bachelor,UK,Electrical Engineering,Scholarship2798,Merit-Based,7000,PhD,Canada,Physics,0
Person752,2.95,1500,Master,UK,Fine Arts,Scholarship752,Need-Based,3500,Master,Canada,Physics,0
Person365,3.74,5000,Bachelor,Canada,Computer Science,Scholarship365,Need-Based,5000,Master,Australia,Electrical Engineering,0
Person1461,2.71,8500,PhD,USA,Medical Science,Scholarship1461,Need-Based,8500,PhD,Canada,History,0
Person1592,3.93,4000,Bachelor,Australia,Fine Arts,Scholarship1592,Merit-Based,3500,Master,Australia,Medical Research,0
Person1028,2.62,9000,Bachelor,UK,Physics,Scholarship1028,Merit-Based,3000,PhD,USA,Chemistry,0
Person1459,3.51,3500,PhD,USA,History,Scholarship1459,Merit-Based,7000,PhD,UK,Business Administration,0
Person2011,3.59,2500,PhD,Australia,Computer Science,Scholarship2011,Merit-Based,2000,PhD,Canada,Fine Arts,0
Person2447,3.66,4000,Bachelor,Australia,Medical Research,Scholarship2447,Merit-Based,3000,Bachelor,UK,Medical Research,1
Person1380,3.19,7000,PhD,Australia,Electrical Engineering,Scholarship1380,Need-Based,9500,PhD,Canada,Business Administration,0
Person1538,2.93,5000,PhD,Canada,Physics,Scholarship1538,Merit-Based,3000,Bachelor,Australia,Chemistry,0
Person1407,2.85,7500,Master,Australia,Medical Science,Scholarship1407,Need-Based,500,Bachelor,Canada,Medical Research,0
Person2569,2.79,6500,Master,Australia,History,Scholarship2569,Merit-Based,4000,Bachelor,UK,History,0
Person2456,2.96,9000,PhD,UK,Medical Research,Scholarship2456,Merit-Based,8000,Bachelor,Canada,Medical Science,0
Person525,3.01,6500,PhD,Canada,History,Scholarship525,Need-Based,2000,Bachelor,UK,Business Administration,0
Person1776,3.41,3500,Master,UK,Business Administration,Scholarship1776,Need-Based,500,Master,USA,Medical Science,0
Person2579,3.74,8500,Master,Australia,Fine Arts,Scholarship2579,Need-Based,3000,Bachelor,Australia,Electrical Engineering,0
Person1814,3.47,6500,Bachelor,UK,Electrical Engineering,Scholarship1814,Need-Based,2500,PhD,USA,Medical Research,0
Person2023,2.7,1000,Bachelor,Australia,Chemistry,Scholarship2023,Merit-Based,5000,Master,Canada,Fine Arts,0
Person103,3.08,8000,PhD,Australia,Chemistry,Scholarship103,Merit-Based,8500,PhD,Australia,Business Administration,0
Person1317,3.03,7000,Master,USA,Medical Science,Scholarship1317,Merit-Based,5000,Master,USA,Medical Research,0
Person77,3.41,1500,Bachelor,Australia,Chemistry,Scholarship77,Need-Based,9500,Bachelor,Australia,Electrical Engineering,0
Person1742,3.73,2000,PhD,UK,Electrical Engineering,Scholarship1742,Merit-Based,3000,Bachelor,Australia,Physics,0
Person328,3.25,2000,Bachelor,USA,Business Administration,Scholarship328,Need-Based,1500,Bachelor,Canada,Business Administration,1
Person514,3.84,8500,Master,UK,Finance,Scholarship514,Merit-Based,5000,PhD,USA,Fine Arts,0
Person2046,2.52,6500,Bachelor,UK,Medical Research,Scholarship2046,Need-Based,1000,Master,Canada,Business Administration,0
Person599,3.73,4500,PhD,UK,Chemistry,Scholarship599,Need-Based,500,Bachelor,USA,Chemistry,0
Person1967,3.65,5500,Bachelor,USA,Fine Arts,Scholarship1967,Need-Based,7000,Master,UK,Electrical Engineering,0
Person2819,3.16,9500,Master,Canada,History,Scholarship2819,Need-Based,8500,Bachelor,USA,Medical Science,0
Person1065,2.51,8000,Master,Canada,Finance,Scholarship1065,Merit-Based,1500,Bachelor,Australia,Fine Arts,0
Person2691,3.12,6000,Bachelor,UK,Business Administration,Scholarship2691,Need-Based,3000,Bachelor,Canada,Physics,0
Person433,3.35,9500,Master,Australia,Business Administration,Scholarship433,Need-Based,2500,PhD,Canada,Business Administration,0
Person1229,2.91,2500,Bachelor,Canada,Fine Arts,Scholarship1229,Merit-Based,500,Bachelor,UK,Fine Arts,1
Person1868,2.7,4000,Bachelor,Australia,Electrical Engineering,Scholarship1868,Need-Based,8000,PhD,Australia,Medical Research,0
Person157,3.88,5000,PhD,Canada,Medical Research,Scholarship157,Merit-Based,5000,PhD,Australia,Medical Research,1
Person135,3.46,5500,Master,Canada,Medical Science,Scholarship135,Merit-Based,9500,Bachelor,Canada,Finance,0
Person1598,3.32,6500,Master,UK,Medical Research,Scholarship1598,Merit-Based,3500,PhD,USA,Business Administration,0
Person2957,2.74,9500,PhD,Canada,Business Administration,Scholarship2957,Merit-Based,6000,PhD,Canada,Physics,0
Person2581,3.03,2000,PhD,Australia,Business Administration,Scholarship2581,Need-Based,8000,PhD,Australia,Chemistry,0
Person2036,2.66,4000,Bachelor,Australia,Physics,Scholarship2036,Need-Based,3000,PhD,Canada,Electrical Engineering,0
Person894,3.75,7500,Bachelor,Canada,Finance,Scholarship894,Need-Based,7000,Master,Canada,Medical Research,0
Person2921,3.11,1500,Master,Canada,Medical Science,Scholarship2921,Need-Based,6500,PhD,Australia,Electrical Engineering,0
Person487,3.33,3000,PhD,UK,History,Scholarship487,Merit-Based,5000,PhD,Canada,Chemistry,0
Person1278,2.92,5500,Bachelor,Australia,Computer Science,Scholarship1278,Merit-Based,9000,PhD,USA,Finance,0
Person2133,3.27,7000,PhD,USA,Medical Science,Scholarship2133,Merit-Based,4500,PhD,USA,Computer Science,0
Person2829,2.7,1000,Master,USA,History,Scholarship2829,Need-Based,6000,Master,UK,Electrical Engineering,0
Person2969,2.51,1000,PhD,USA,History,Scholarship2969,Need-Based,5500,Bachelor,UK,Medical Research,0
Person2463,2.8,2000,PhD,Australia,Fine Arts,Scholarship2463,Merit-Based,5500,Bachelor,Australia,Business Administration,0
Person1745,3.89,1000,Bachelor,Australia,Business Administration,Scholarship1745,Merit-Based,4500,Master,USA,Medical Science,0
Person146,2.59,3500,Bachelor,Canada,History,Scholarship146,Merit-Based,7500,Bachelor,UK,Medical Research,0
Person590,3.43,2500,Bachelor,Canada,Business Administration,Scholarship590,Need-Based,3000,PhD,Canada,Medical Science,0
Person1060,3.16,4000,PhD,Australia,Finance,Scholarship1060,Merit-Based,5500,Bachelor,Canada,Electrical Engineering,0
Person2426,3.26,6000,PhD,USA,Chemistry,Scholarship2426,Need-Based,6000,Master,UK,Fine Arts,0
Person2467,3.26,1500,PhD,USA,Chemistry,Scholarship2467,Merit-Based,2000,PhD,Australia,Finance,0
Person801,3.04,3000,Bachelor,UK,Business Administration,Scholarship801,Merit-Based,6500,Bachelor,UK,Computer Science,0
Person783,3.43,8500,PhD,Canada,Medical Research,Scholarship783,Merit-Based,6000,Master,Canada,Electrical Engineering,0
Person1306,3.42,2000,Master,UK,Finance,Scholarship1306,Need-Based,7500,Master,USA,Fine Arts,0
Person2646,2.54,3000,PhD,Canada,Finance,Scholarship2646,Need-Based,6500,Bachelor,Australia,Medical Science,0
Person629,2.62,9000,Master,USA,Medical Science,Scholarship629,Need-Based,1000,Bachelor,Australia,Physics,0
Person1484,3.69,7000,PhD,USA,History,Scholarship1484,Need-Based,7000,Bachelor,USA,Business Administration,0
Person2361,3.17,1000,Bachelor,Australia,Finance,Scholarship2361,Need-Based,3000,PhD,Australia,Fine Arts,0
Person379,3.94,4000,Master,Australia,Medical Science,Scholarship379,Need-Based,9500,Master,Canada,History,0
Person2238,3.62,6000,Master,UK,Medical Research,Scholarship2238,Need-Based,9000,PhD,UK,Computer Science,0
Person180,3.9,2000,PhD,Canada,Medical Science,Scholarship180,Merit-Based,4000,PhD,Australia,Physics,0
Person2538,2.56,6500,Bachelor,Australia,Chemistry,Scholarship2538,Need-Based,5500,PhD,Canada,History,0
Person210,3.95,6500,Master,Australia,Business Administration,Scholarship210,Need-Based,7500,Bachelor,UK,Medical Research,0
Person1301,2.79,1500,PhD,USA,Electrical Engineering,Scholarship1301,Merit-Based,9500,Master,UK,Electrical Engineering,0
Person2898,3.03,4000,PhD,USA,Electrical Engineering,Scholarship2898,Need-Based,8000,PhD,UK,Medical Research,0
Person1397,3.02,7500,Bachelor,Australia,Medical Research,Scholarship1397,Need-Based,6000,PhD,UK,Finance,0
Person2985,3.39,6000,PhD,USA,Finance,Scholarship2985,Merit-Based,9000,PhD,UK,Computer Science,0
Person2868,2.54,7500,Master,Canada,Business Administration,Scholarship2868,Need-Based,1000,PhD,Australia,Medical Research,0
Person1022,3.91,3500,PhD,USA,Electrical Engineering,Scholarship1022,Need-Based,4000,Master,USA,Medical Research,0
Person1340,3.26,500,PhD,UK,Computer Science,Scholarship1340,Need-Based,6000,Master,USA,History,0
Person800,2.93,3000,PhD,Australia,Medical Research,Scholarship800,Merit-Based,6000,Bachelor,Australia,Electrical Engineering,0
Person354,3.86,8500,PhD,UK,Fine Arts,Scholarship354,Merit-Based,1500,Bachelor,Canada,Chemistry,0
Person2270,3.98,6000,PhD,UK,Computer Science,Scholarship2270,Need-Based,1000,Bachelor,USA,Fine Arts,0
Person2200,3.36,4000,Master,UK,Computer Science,Scholarship2200,Need-Based,2500,Master,USA,Electrical Engineering,0
Person218,2.98,500,PhD,UK,Fine Arts,Scholarship218,Merit-Based,8500,Bachelor,Australia,Chemistry,0
Person32,2.64,1000,Bachelor,UK,Medical Research,Scholarship32,Merit-Based,9500,Master,Canada,Business Administration,0
Person2641,2.72,5500,Bachelor,UK,Medical Research,Scholarship2641,Need-Based,1000,Bachelor,Canada,Business Administration,0
Person151,2.73,3000,Master,Canada,Fine Arts,Scholarship151,Need-Based,9000,Master,USA,Physics,0
Person1633,3.04,3500,Bachelor,UK,Finance,Scholarship1633,Merit-Based,4000,Bachelor,Australia,Electrical Engineering,0
Person615,3.19,6000,Master,Canada,Medical Science,Scholarship615,Merit-Based,5500,Master,USA,Physics,0
Person430,2.53,9500,Master,Australia,Business Administration,Scholarship430,Need-Based,5000,Master,USA,History,0
Person1929,3.92,1000,PhD,USA,Fine Arts,Scholarship1929,Merit-Based,500,Master,UK,Chemistry,0
Person331,3.81,1000,PhD,Canada,Fine Arts,Scholarship331,Need-Based,500,Master,Australia,Finance,0
Person1809,2.95,6000,PhD,USA,Electrical Engineering,Scholarship1809,Merit-Based,4000,Master,UK,History,0
Person2751,3.01,3500,PhD,UK,Medical Research,Scholarship2751,Merit-Based,9000,PhD,Australia,Electrical Engineering,0
Person463,2.66,3500,Master,USA,Fine Arts,Scholarship463,Merit-Based,3000,PhD,Canada,Medical Science,0
Person2037,3.3,1500,Bachelor,USA,Computer Science,Scholarship2037,Merit-Based,8000,Bachelor,Australia,Finance,0
Person2372,3.14,3500,Bachelor,USA,Fine Arts,Scholarship2372,Need-Based,1500,PhD,USA,Finance,0
Person2357,3.0,5500,Bachelor,Australia,Medical Science,Scholarship2357,Merit-Based,7500,PhD,UK,History,0
Person2069,3.31,3000,PhD,USA,Computer Science,Scholarship2069,Need-Based,2000,Bachelor,UK,Business Administration,0
Person2199,3.58,5000,Master,Australia,Medical Science,Scholarship2199,Merit-Based,6500,Bachelor,UK,Medical Science,0
Person1005,2.71,500,PhD,UK,Finance,Scholarship1005,Need-Based,4000,PhD,Australia,History,0
Person2854,3.72,9000,PhD,USA,History,Scholarship2854,Merit-Based,4000,Master,USA,Business Administration,0
Person2032,4.0,6500,Bachelor,USA,Physics,Scholarship2032,Merit-Based,1000,Master,Australia,History,0
Person1705,3.59,6000,Bachelor,Canada,Medical Science,Scholarship1705,Merit-Based,7500,Bachelor,Australia,Electrical Engineering,0
Person1688,3.42,7000,Master,UK,Electrical Engineering,Scholarship1688,Merit-Based,3500,PhD,UK,Computer Science,0
Person47,2.67,7500,PhD,USA,Fine Arts,Scholarship47,Need-Based,3500,PhD,USA,Computer Science,0
Person233,3.77,6000,Master,Canada,Medical Science,Scholarship233,Merit-Based,500,Bachelor,Canada,Medical Research,0
Person1387,2.54,9000,Master,UK,Computer Science,Scholarship1387,Need-Based,5000,PhD,USA,Computer Science,0
Person1073,2.9,3000,Master,UK,History,Scholarship1073,Need-Based,9500,Master,UK,Finance,0
Person858,3.22,9000,PhD,Canada,Chemistry,Scholarship858,Need-Based,4500,PhD,Australia,Computer Science,0
Person441,3.04,7500,Master,USA,History,Scholarship441,Merit-Based,9000,Bachelor,Canada,Medical Research,0
Person2149,3.78,6000,PhD,Australia,Business Administration,Scholarship2149,Merit-Based,5500,Master,USA,Finance,0
Person2424,3.11,3000,Master,Canada,Medical Science,Scholarship2424,Merit-Based,7500,Master,Australia,Fine Arts,0
Person1108,3.05,7000,PhD,USA,Physics,Scholarship1108,Need-Based,5000,Bachelor,Canada,Chemistry,0
Person2153,3.67,4000,Master,Australia,Fine Arts,Scholarship2153,Need-Based,1500,Master,UK,Computer Science,0
Person787,2.65,7000,PhD,Australia,Electrical Engineering,Scholarship787,Merit-Based,7500,Master,Australia,Electrical Engineering,0
Person1613,3.74,500,PhD,Australia,Medical Research,Scholarship1613,Merit-Based,6000,Master,UK,History,0
Person391,3.66,7500,Master,Australia,Fine Arts,Scholarship391,Merit-Based,5000,Bachelor,Canada,Computer Science,0
Person662,3.39,7500,PhD,USA,Physics,Scholarship662,Merit-Based,9500,Master,Australia,Medical Research,0
Person148,3.26,4500,Bachelor,USA,Physics,Scholarship148,Need-Based,500,PhD,Canada,Chemistry,0
Person512,3.61,2000,Bachelor,USA,Medical Research,Scholarship512,Merit-Based,5000,Bachelor,UK,Finance,0
Person1667,3.23,8500,PhD,USA,Electrical Engineering,Scholarship1667,Need-Based,9000,PhD,UK,Chemistry,0
Person1206,3.71,7000,Bachelor,UK,Physics,Scholarship1206,Need-Based,9000,PhD,Australia,Medical Science,0
Person1575,2.65,6500,PhD,Canada,Medical Research,Scholarship1575,Merit-Based,500,PhD,Australia,Physics,0
Person2254,3.66,2000,PhD,Canada,Finance,Scholarship2254,Merit-Based,2000,Bachelor,UK,Medical Research,0
Person2404,2.98,6000,Master,Australia,Finance,Scholarship2404,Merit-Based,5000,Bachelor,Australia,Electrical Engineering,0
Person1670,2.59,3000,Master,UK,Medical Research,Scholarship1670,Merit-Based,2500,PhD,Australia,Finance,0
Person1999,3.62,9000,Bachelor,UK,Medical Science,Scholarship1999,Need-Based,7000,Bachelor,Canada,Business Administration,0
Person521,2.54,8000,Bachelor,Australia,Fine Arts,Scholarship521,Need-Based,7000,Master,USA,History,0
Person2806,2.66,3500,Master,Canada,Finance,Scholarship2806,Merit-Based,3500,Master,Canada,Finance,1
Person2392,2.79,500,Master,Canada,History,Scholarship2392,Need-Based,9500,PhD,Canada,Medical Science,0
Person1376,3.73,3500,Bachelor,USA,Medical Science,Scholarship1376,Merit-Based,500,PhD,Australia,Physics,0
Person1931,2.94,4000,Master,Canada,Fine Arts,Scholarship1931,Need-Based,5000,PhD,Australia,Finance,0
Person1043,3.69,4000,Master,Canada,History,Scholarship1043,Merit-Based,9500,PhD,UK,Medical Research,0
Person1010,2.82,1000,PhD,Australia,Computer Science,Scholarship1010,Need-Based,8000,PhD,USA,Computer Science,1
Person310,3.3,3500,Master,USA,Chemistry,Scholarship310,Need-Based,7500,Bachelor,Australia,Fine Arts,0
Person1001,3.76,8500,PhD,Canada,Physics,Scholarship1001,Merit-Based,4500,PhD,Australia,Fine Arts,0
Person158,3.23,2000,PhD,UK,Electrical Engineering,Scholarship158,Need-Based,4500,PhD,USA,Medical Science,0
Person2228,3.13,5500,Bachelor,Canada,Computer Science,Scholarship2228,Merit-Based,6000,Bachelor,Canada,History,0
Person1958,3.6,4000,Bachelor,UK,Computer Science,Scholarship1958,Merit-Based,8000,Bachelor,Canada,Business Administration,0
Person1620,3.48,1500,Bachelor,Australia,Medical Research,Scholarship1620,Merit-Based,5500,Bachelor,Canada,Electrical Engineering,0
Person1642,2.64,4500,Master,Australia,Computer Science,Scholarship1642,Merit-Based,9500,PhD,USA,Electrical Engineering,0
Person1414,3.8,1000,PhD,UK,Chemistry,Scholarship1414,Merit-Based,6000,Bachelor,Canada,Chemistry,0
Person1078,3.81,2500,Bachelor,Australia,Physics,Scholarship1078,Merit-Based,8000,PhD,UK,Chemistry,0
Person2779,2.98,1500,Bachelor,Australia,Computer Science,Scholarship2779,Need-Based,1500,PhD,USA,Electrical Engineering,0
Person901,3.38,3000,PhD,UK,History,Scholarship901,Merit-Based,5000,Bachelor,USA,Finance,0
Person776,2.89,6000,Master,UK,Medical Science,Scholarship776,Merit-Based,5000,Bachelor,UK,Finance,0
Person2802,3.18,8000,Bachelor,UK,Physics,Scholarship2802,Merit-Based,9000,PhD,Australia,Medical Research,0
Person2715,2.69,7500,Bachelor,Canada,Physics,Scholarship2715,Merit-Based,2500,Master,USA,Chemistry,0
Person404,2.98,8500,Master,UK,Fine Arts,Scholarship404,Need-Based,7000,PhD,UK,Finance,0
Person1851,3.36,9000,Master,Australia,Chemistry,Scholarship1851,Merit-Based,6500,PhD,Australia,Physics,0
Person1413,3.66,1000,Master,USA,Fine Arts,Scholarship1413,Need-Based,8000,PhD,USA,Electrical Engineering,0
Person2616,3.02,2000,Bachelor,Australia,Electrical Engineering,Scholarship2616,Need-Based,9500,Master,Canada,Physics,0
Person2926,2.61,7500,Bachelor,Australia,History,Scholarship2926,Merit-Based,2000,Master,Canada,Fine Arts,0
Person2522,2.97,9000,Master,USA,Fine Arts,Scholarship2522,Need-Based,1000,Master,Canada,Fine Arts,1
Person2687,2.8,4500,PhD,Canada,Medical Science,Scholarship2687,Need-Based,4000,Bachelor,UK,Electrical Engineering,0
Person1390,3.85,1000,Bachelor,USA,Physics,Scholarship1390,Need-Based,3500,PhD,Canada,Physics,0
Person2793,3.61,7500,Bachelor,Australia,Finance,Scholarship2793,Merit-Based,6500,Master,USA,Fine Arts,0
Person2170,3.77,8500,Master,UK,Physics,Scholarship2170,Merit-Based,4500,Bachelor,UK,Chemistry,0
Person2418,3.95,5000,Bachelor,Canada,Computer Science,Scholarship2418,Need-Based,8000,Master,UK,Computer Science,0
Person1089,2.63,6000,Master,UK,Finance,Scholarship1089,Need-Based,9500,PhD,UK,Medical Science,0
Person1621,2.75,2500,Bachelor,UK,Medical Science,Scholarship1621,Merit-Based,4500,Master,USA,Computer Science,0
Person1081,3.71,2000,Master,Australia,Fine Arts,Scholarship1081,Merit-Based,8000,PhD,Australia,Electrical Engineering,0
Person1970,3.63,2500,Master,Canada,Physics,Scholarship1970,Need-Based,500,PhD,USA,History,0
Person1911,2.67,1500,Bachelor,Canada,History,Scholarship1911,Need-Based,6500,Master,Canada,Medical Science,0
Person1661,2.72,7000,PhD,Australia,Medical Research,Scholarship1661,Merit-Based,2000,PhD,Australia,Electrical Engineering,0
Person744,3.38,4000,Bachelor,Canada,Medical Science,Scholarship744,Merit-Based,5500,Master,USA,Finance,0
Person2889,2.76,8000,PhD,UK,History,Scholarship2889,Merit-Based,7000,Bachelor,Canada,History,0
Person1489,2.74,7500,Master,Australia,Electrical Engineering,Scholarship1489,Need-Based,2500,PhD,USA,Electrical Engineering,0
Person1453,3.66,500,PhD,UK,Electrical Engineering,Scholarship1453,Need-Based,1000,Bachelor,USA,Finance,0
Person1785,3.21,500,Bachelor,Australia,Finance,Scholarship1785,Need-Based,6000,Bachelor,UK,Medical Research,0
Person2657,3.2,5500,PhD,Canada,Physics,Scholarship2657,Need-Based,4500,Master,UK,Business Administration,0
Person994,2.55,9500,Master,Canada,History,Scholarship994,Need-Based,4500,Master,USA,Chemistry,0
Person1636,3.98,4500,Master,UK,History,Scholarship1636,Merit-Based,9500,Bachelor,UK,Fine Arts,0
Person1689,3.85,8500,Bachelor,Australia,Physics,Scholarship1689,Need-Based,8500,Bachelor,Canada,Computer Science,0
Person256,3.11,9000,PhD,Canada,Business Administration,Scholarship256,Merit-Based,7500,Master,USA,History,0
Person2756,2.53,1000,PhD,Australia,Electrical Engineering,Scholarship2756,Need-Based,4500,Bachelor,USA,Finance,0
Person2660,3.01,2000,Bachelor,Australia,Chemistry,Scholarship2660,Merit-Based,8500,Bachelor,Canada,Fine Arts,0
Person701,3.62,5000,Bachelor,UK,Fine Arts,Scholarship701,Need-Based,5500,Bachelor,Canada,Chemistry,0
Person1159,3.34,3000,Master,USA,Physics,Scholarship1159,Merit-Based,8000,Master,Australia,Fine Arts,0
Person1956,2.61,9000,PhD,Canada,Physics,Scholarship1956,Need-Based,8500,PhD,UK,Finance,0
Person2256,3.62,1500,Master,USA,Business Administration,Scholarship2256,Merit-Based,7000,Master,UK,Medical Research,0
Person713,3.99,500,Bachelor,Australia,Chemistry,Scholarship713,Need-Based,4500,Master,Canada,Physics,0
Person1365,3.63,8000,PhD,Australia,Physics,Scholarship1365,Merit-Based,5500,Bachelor,USA,Chemistry,0
Person1331,3.5,3500,PhD,Australia,Chemistry,Scholarship1331,Need-Based,5000,Bachelor,Canada,Finance,0
Person2887,2.85,3500,Bachelor,USA,Chemistry,Scholarship2887,Merit-Based,2500,Master,USA,Medical Science,0
Person758,2.55,9500,Bachelor,Australia,Finance,Scholarship758,Merit-Based,1000,Master,UK,Computer Science,0
Person944,3.42,8500,Bachelor,UK,Business Administration,Scholarship944,Need-Based,3000,PhD,Australia,Medical Science,0
Person2262,3.23,9500,Bachelor,Australia,Physics,Scholarship2262,Merit-Based,6500,PhD,Australia,Computer Science,0
Person315,3.17,8000,Master,UK,Physics,Scholarship315,Merit-Based,8500,Bachelor,Australia,Electrical Engineering,0
Person2030,3.23,6000,PhD,USA,Fine Arts,Scholarship2030,Merit-Based,2500,PhD,UK,History,0
Person437,2.9,1500,Master,USA,Chemistry,Scholarship437,Merit-Based,6500,Bachelor,Australia,Chemistry,0
Person2984,3.96,3000,Bachelor,Australia,Medical Science,Scholarship2984,Merit-Based,5000,Master,UK,Finance,0
Person1875,3.96,5000,Bachelor,Australia,History,Scholarship1875,Merit-Based,3000,Master,USA,History,0
Person2140,2.62,7500,PhD,Canada,Medical Science,Scholarship2140,Need-Based,9500,PhD,UK,Fine Arts,0
Person2204,3.72,500,Bachelor,UK,Chemistry,Scholarship2204,Need-Based,7000,Master,USA,Physics,0
Person460,3.06,2000,Master,Canada,Physics,Scholarship460,Merit-Based,2500,Master,Canada,History,0
Person1462,3.92,2000,Master,Australia,Computer Science,Scholarship1462,Merit-Based,5000,PhD,Australia,History,0
Person369,3.13,2000,PhD,Canada,Medical Research,Scholarship369,Need-Based,1500,Bachelor,Canada,Physics,0
Person466,2.7,8000,Master,Australia,Computer Science,Scholarship466,Merit-Based,2500,Master,UK,History,0
